Code,Genus,Species,Voucher,Country,Herbarium,ITS,ITSname,rps16,rps16names,ndhF,ndhFnames,ETS,ETSnames
SC133,Scleria,globonux,Hess H.&E. 52/696,Angola,GENT,LN886856,Scleria_globonux_LN886856_Angola,LN887083,Scleria_globonux_LN887083_Angola,LN886968,Scleria_globonux_LN886968_Angola,,
SC134,Scleria,goossensii,Smith T.B. S85-52,Cameroon,GENT,LN886857,Scleria_goossensii_LN886857_Cameroon,LN887084,Scleria_goossensii_LN887084_Cameroon,LN886969,Scleria_goossensii_LN886969_Cameroon,,
SC075,Scleria,greigiifolia,Desfayes M. 95-3121,Madagascar,GENT,LN886829,Scleria_greigiifolia_LN886829_Madagascar,LN887057,Scleria_greigiifolia_LN887057_Madagascar,LN886940,Scleria_greigiifolia_LN886940_Madagascar,MH379457,Scleria_greigiifolia_MH379457_ Madagascar
SC137,Scleria,hildebrandtii,Zwaenepoel A. 508,Kenya,GENT,LN886859,Scleria_hildebrandtii_LN886859_Kenya,LN887086,Scleria_hildebrandtii_LN887086_Kenya,LN886971,Scleria_hildebrandtii_LN886971_Kenya,SC137,Scleria_hildebrandtii_SC137_ Kenya
SC032,Scleria,hilsenbergii,Larridon et al. 2010-0138,Madagascar,GENT,LN886812,Scleria_hilsenbergii_LN886812_Madagascar,LN887041,Scleria_hilsenbergii_LN887041_Madagascar,LN886923,Scleria_hilsenbergii_LN886923_Madagascar,MG708894,Scleria_hilsenbergii_MG708894_Madagascar
SC445,Scleria,hirtella,Piepenbring 2625,Guyana,GENT,MG708623,Scleria_hirtella_MG708623_Guyana,MG708856,Scleria_hirtella_MG708856_Guyana,MG708747,Scleria_hirtella_MG708747_Guyana,MG709019,Scleria_hirtella_MG709019_Guyana
SC455,Scleria,hispidior,Gilbert 927,Ethiopia,L,MG708633,Scleria_hispidior_MG708633_Ethiopia,MG708865,Scleria_hispidior_MG708865_Ethiopia,,,,
SC439,Scleria,hispidula,Robinson E.A. 6535,Zambia,GENT,MG708617,Scleria_hispidula_MG708617_Zambia,MG708850,Scleria_hispidula_MG708850_Zambia,MG708741,Scleria_hispidula_MG708741_Zambia,MG709013,Scleria_hispidula_MG709013_Zambia
SC318,Scleria,interrupta,Jansen-Jacobs M.J. s.n. ?,Guyana,GENT,MG708573,Scleria_interrupta_MG708573_Guyana,MG708811,Scleria_interrupta_MG708811_Guyana,MG708701,Scleria_interrupta_MG708701_Guyana,MG708970,Scleria_interrupta_MG708970_Guyana
SC140,Scleria,iostephana,Hess H. & E. 52/1229,Angola,GENT,LN886860,Scleria_iostephana_LN886860_Angola,LN887087,Scleria_iostephana_LN887087_Angola,LN886972,Scleria_iostephana_LN886972_Angola,MH379467,Scleria_iostephana_MH379467_ Angola
SC102,Scleria,kerrii,Bart De Wilde & al. 02-325,Thailand,TCD,LN886840,Scleria_kerrii_LN886840_Thailand,LN887067,Scleria_kerrii_LN887067_Thailand,LN886951,Scleria_kerrii_LN886951_Thailand,,
SC004,Scleria,lacustris,Guareco I. 409,Bolivia,GENT,LN886806,Scleria_lacustris_LN886806_Bolivia,LN887035,Scleria_lacustris_LN887035_Bolivia,LN886917,Scleria_lacustris_LN886917_Bolivia,MH379452,Scleria_lacustris_MH379452_ Bolivia
SC224,Scleria,lagoensis,Gereau R.E. & al. 4306,Tanzania,MO,LN886890,Scleria_lagoensis_LN886890_Tanzania,LN887119,Scleria_lagoensis_LN887119_Tanzania,LN887006,Scleria_lagoensis_LN887006_Tanzania,SC224,Scleria_lagoensis_SC224_ Tanzania
SC141,Scleria,latifolia,Camelbeke K. & Goetghebeur P. 913,Costa Rica,GENT,LN886861,Scleria_latifolia_LN886861_Costa_Rica,LN887088,Scleria_latifolia_LN887088_Costa_Rica,LN886973,Scleria_latifolia_LN886973_Costa_Rica,MH379468,Scleria_latifolia_MH379468_ Costa_Rica
SC142,Scleria,laxa,Wilson K.L. 7338,Australia,GENT,LN886862,Scleria_laxa_LN886862_Australia,LN887089,Scleria_laxa_LN887089_Australia,LN886974,Scleria_laxa_LN886974_Australia,,
SC446,Scleria,laxiflora,Bidgood et al. 842,Tanzania,MO,MG708624,Scleria_laxiflora_MG708624_Tanzania,MG708857,Scleria_laxiflora_MG708857_Tanzania,MG708748,Scleria_laxiflora_MG708748_Tanzania,MG709020,Scleria_laxiflora_MG709020_Tanzania
SC296,Scleria,leptostachya,Irwin et al. 11690,Brazil,GENT,MG708559,Scleria_leptostachya_MG708559_Brazil,MG708798,Scleria_leptostachya_MG708798_Brazil,MG708687,Scleria_leptostachya_MG708687_Brazil,MG708955,Scleria_leptostachya_MG708955_Brazil
SC436,Scleria,liberica,Adam 29622,Liberia,MO,MG708615,Scleria_liberica_MG708615_Liberia,MG708847,Scleria_liberica_MG708847_Liberia,MG708738,Scleria_liberica_MG708738_Liberia,MG709010,Scleria_liberica_MG709010_Liberia
SC182,Scleria,lithosperma,Bauters K. & Coenen J. 2013-019,USA,GENT,,,LN887105,Scleria_lithosperma_LN887105_USA,LN886990,Scleria_lithosperma_LN886990_USA,MG708926,Scleria_lithosperma_MG708926_USA
SC144,Scleria,longispiculata,Hess H.&E. 52/437,Angola,GENT,MG708539,Scleria_longispiculata_MG708539_Angola,MG708778,Scleria_longispiculata_MG708778_Angola,MG708664,Scleria_longispiculata_MG708664_Angola,MG708920,Scleria_longispiculata_MG708920_Angola
SC110,Scleria,mackaviensis,Wilson K.L. 9871, Australia,NE,LN886847,Scleria_mackaviensis_LN886847_Australia,LN887074,Scleria_mackaviensis_LN887074_Australia,LN886958,Scleria_mackaviensis_LN886958_Australia,MG708915,Scleria_mackaviensis_MG708915_ Australia
