Code,Genus,Species,Voucher,Country,Herbarium,ITS,ITSname,rps16,rps16names,ndhF,ndhFnames,ETS,ETSnames
SC384,Scleria,dregeana,Bauters K. 2015-184,Zambia,GENT,MG708606,Scleria_dregeana_MG708606_Zambia,MG708839,Scleria_dregeana_MG708839_Zambia,MG708732,Scleria_dregeana_MG708732_Zambia,MG709002,Scleria_dregeana_MG709002_Zambia
SC275,Scleria,eggersiana,Camelbeke K. & Goetghebeur P. 939,Costa Rica,GENT,LN886909,Scleria_eggersiana_LN886909_Costa_Rica,LN887139,Scleria_eggersiana_LN887139_Costa_Rica,LN887027,Scleria_eggersiana_LN887027_Costa_Rica,,
SC023,Scleria,erythrorrhiza,Malaisse & Goetghebeur 871,Democratic Republic of Congo,GENT,MG708517,Scleria_erythrorrhiza_MG708517_DRC,MG708760,Scleria_erythrorrhiza_MG708760_DRC,MG708647,Scleria_erythrorrhiza_MG708647_DRC,MG708885,Scleria_erythrorrhiza_MG708885_DRC
SC129,Scleria,flagellum-nigrorum,Moraes M. & al. 1785,Bolivia,GENT,LN886854,Scleria_flagellum_nigrorum_LN886854_Bolivia,LN887081,Scleria_flagellum_nigrorum_LN887081_Bolivia,LN886966,Scleria_flagellum_nigrorum_LN886966_Bolivia,MH379465,Scleria_flagellum-nigrorum_MH379465_ Bolivia
SC351,Scleria,flexuosa,Bauters K. 2015-057,Zambia,GENT,MG708586,Scleria_flexuosa_MG708586_Zambia,MG708824,Scleria_flexuosa_MG708824_Zambia,MG708712,Scleria_flexuosa_MG708712_Zambia,MG708984,Scleria_flexuosa_MG708984_Zambia
SC130,Scleria,foliosa,Malaisse F. & Goetghebeur P. 418,Democratic Republic of the Congo,GENT,LN886855,Scleria_foliosa_LN886855_DRC,LN887082,Scleria_foliosa_LN887082_DRC,LN886967,Scleria_foliosa_LN886967_DRC,MH379466,Scleria_foliosa_MH379466_ DRC
SC294,Scleria,fulvipilosa,Robinson 6324,Zambia,NY,MG708558,Scleria_fulvipilosa_MG708558_Zambia,MG708797,Scleria_fulvipilosa_MG708797_Zambia,MG708686,Scleria_fulvipilosa_MG708686_Zambia,MG708954,Scleria_fulvipilosa_MG708954_Zambia
SC271,Scleria,gaertneri,Camelbeke K. & Goetghebeur P. 903,Costa Rica,GENT,LN886908,Scleria_gaertneri_LN886908_Costa_Rica,LN887138,Scleria_gaertneri_LN887138_Costa_Rica,LN887026,Scleria_gaertneri_LN887026_Costa_Rica,,
SC186,Scleria,georgiana,Bauters K. & Coenen J. 2013-033, U.S.A.,GENT,,,LN887106,Scleria_georgiana_LN887106_USA,LN886991,Scleria_georgiana_LN886991_USA,,
SC269,Scleria,glabra,Bingham M 7603,Zambia,GENT,MG708548,Scleria_glabra_MG708548_Zambia,MG708789,Scleria_glabra_MG708789_Zambia,MG708676,Scleria_glabra_MG708676_Zambia,MG708945,Scleria_glabra_MG708945_Zambia
